Date and Time,Temperature (°C),Humidity (%),Wind Speed (m/s),Weather Condition
2025-05-01 12:00:00,38.32,25,1.07,scattered clouds
2025-05-01 15:00:00,36.7,21,1.92,few clouds
2025-05-01 18:00:00,33.19,21,4.46,clear sky
2025-05-01 21:00:00,29.57,29,2.06,light rain
2025-05-02 00:00:00,29.3,29,4.05,broken clouds
2025-05-02 03:00:00,33.19,25,5.39,light rain
2025-05-02 06:00:00,37.88,18,7.59,light rain
2025-05-02 09:00:00,40.37,13,2.05,overcast clouds
2025-05-02 12:00:00,39.5,14,2.02,light rain
2025-05-02 15:00:00,31.88,26,5.71,light rain
2025-05-02 18:00:00,30.43,30,2.13,light rain
2025-05-02 21:00:00,30.14,30,2.4,light rain
2025-05-03 00:00:00,28.85,35,1.76,light rain
2025-05-03 03:00:00,33.39,24,2.79,overcast clouds
2025-05-03 06:00:00,39.69,15,3.68,scattered clouds
2025-05-03 09:00:00,41.92,11,2.95,overcast clouds
2025-05-03 12:00:00,41.88,10,1.11,overcast clouds
2025-05-03 15:00:00,32.83,23,3.29,scattered clouds
2025-05-03 18:00:00,30.72,29,4.18,light rain
2025-05-03 21:00:00,28.19,37,1.98,light rain
2025-05-04 00:00:00,26.44,43,4.18,light rain
2025-05-04 03:00:00,31.05,31,4.71,overcast clouds
2025-05-04 06:00:00,37.82,18,2.98,overcast clouds
2025-05-04 09:00:00,40.87,14,2.12,overcast clouds
2025-05-04 12:00:00,40.41,14,3.52,broken clouds
2025-05-04 15:00:00,32.83,25,4.65,light rain
2025-05-04 18:00:00,30.09,34,3.43,scattered clouds
2025-05-04 21:00:00,28.35,39,2.93,scattered clouds
2025-05-05 00:00:00,27.38,41,1.71,broken clouds
2025-05-05 03:00:00,31.63,31,2.66,overcast clouds
2025-05-05 06:00:00,37.01,21,2.96,overcast clouds
2025-05-05 09:00:00,40.41,16,1.51,overcast clouds
2025-05-05 12:00:00,40.17,15,0.64,overcast clouds
2025-05-05 15:00:00,35.95,19,1.1,overcast clouds
2025-05-05 18:00:00,32.34,27,4.46,broken clouds
2025-05-05 21:00:00,30.38,30,2.11,broken clouds
2025-05-06 00:00:00,28.74,34,2.75,broken clouds
2025-05-06 03:00:00,33.04,27,5.04,broken clouds
2025-05-06 06:00:00,38.11,18,1.92,broken clouds
2025-05-06 09:00:00,39.05,17,1.69,overcast clouds
